a_b	a_c	b_d	c_d
Is this Tom's dog?	Isn't it Tom's dog?	Tom told me that that was his dog.	I thought that Tom said it was a dog.
Is this Tom's hat?	Is this hat Tom's?	This hat isn't Tom's.	I don't think that this is Tom's hat.
Is that a leopard?	Holy mackerel! Is that a shark?	Are there lots of sharks around here?	The sea is infested with sharks.
Is this bag Tom's?	Are these bags Tom's and yours?	Are these all Tom's and mine?	These are Tom's, aren't they?
What's up with it?	What's the matter with it?	What's the matter with this one?	What's wrong with this one?
Is this car Tom's?	Isn't that Tom's car?	This is Tom's car, I think.	That's Tom's wife's car.
Is this cup Tom's?	Which cup is Tom's?	My coffee cup is next to Tom's.	Tom collected coffee cups.
Is this dog Tom's?	Are these dogs Tom's?	Is that Tom's dog?	Isn't that Tom's dog?
Is this hat Tom's?	This isn't Tom's hat, is it?	Is that the hat Tom gave you?	This isn't Tom's hat.
You are very rich.	You are rich indeed, but I doubt that you are happy.	I am as rich as he is.	Just because he's rich, doesn't mean he's happy.
Is this pen Tom's?	These pens are Tom's.	These must be Tom's.	I think those are Tom's.
Let Tom handle it.	Let's let Tom handle that.	Just let Tom do his job.	Let's let Tom do that.
The bench is long.	He was sitting on a bench.	I was sitting on the bench.	He seated himself on the bench.
Tom came by train.	Tom wants to go by train.	Tell Tom which train to catch.	Tell Tom which bus to get on.
Tom drove me nuts.	Tom drove us crazy.	Tom was very crazy.	Tom was kind of crazy.
I wish I were you.	I wish that I were there with you.	I wish I could be with you.	I wish that you were here with me.
Tom gave it a try.	Tom decided to give it a shot.	Tom finally decided to try doing this.	Tom decided to try.
Tom got defensive.	Tom is getting defensive.	Tom is kind of upset.	Tom is just upset.
Layla isn't crazy.	Layla wasn't that type of bitch.	Layla wasn't as bitchy as Sami thought.	Sami wasn't too nice to Layla.
Layla was praying.	Sami is praying for Layla.	Sami was trying to comfort Layla.	Sami was trying to cheer Layla up.
Layla took action.	Layla kept moving.	Layla worked very hard.	Layla had much work to do.
Ziri isn't racist.	Ziri is a rabid white supremacist.	Ziri is a lunatic.	Ziri wants to act crazy.
He requested help.	He appealed for help.	He needed someone to help him.	He begged us to help him.
Ziri never fought.	Ziri never came back.	Ziri never saw that lady ever again.	Ziri never saw Rima again after that.
She's daydreaming.	She's probably thinking about him.	I think she's in love with him.	She is in love with him.
Is that Tom's dog?	Is that dog Tom's?	Tom told me that that was his dog.	Tom said that dog was his.
Tom just saw Mary.	Tom saw Mary yesterday.	Tom must have seen Mary this afternoon.	Tom said he saw Mary yesterday.
Tom kicked me out.	Tom walked out on me.	Tom just hung up on me.	Why did Tom hang up on you?
Tom's car is cool.	Tom has a really nice car.	Tom has a very expensive car.	Tom owns lots of cars.
Will Tom be there?	Are you sure Tom will be there?	I don't know if Tom will be there.	I'm not sure Tom will be there.
Tom lives near me.	Tom lives near you.	Tom lives just across from us.	Tom lives just over there.
I have the answer.	I know the correct answer.	I knew this already.	I knew that information.
Ziri was executed.	Ziri was strangled.	Ziri became a murderer.	Ziri was a killer.
This gold is mine.	I like to feel this gold in my hand.	I don't need gold, I only seek the ultimate truth.	Do you recommend buying gold?
Tom was miserable.	Tom was very unhappy.	Tom said that he was really unhappy.	Tom told me that he was unhappy.
I've got no money.	I don't have any money now.	I don't have any money left.	I don't have much money left.
Ziri will be fine.	Ziri is more than alright.	Ziri is doing fine.	Ziri is even better.
Tom is very moody.	Tom can be moody at times.	Tom is a little moody today.	Tom seems to be a little bit unhappy today.
Tom was motivated.	Tom got very motivated.	Tom seems motivated.	Tom is quite motivated.
Tom tried to move.	Tom went somewhere.	Tom changed directions.	Tom went somewhere else.
Ziri is suffering.	Ziri is feeling down.	Ziri has been depressed for a long time.	Ziri experienced sadness.
Tom isn't naughty.	Tom is very naughty.	Tom admitted that he'd been naughty.	Tom was a very naughty boy.
Ziri has an issue.	Ziri has a lot of problems.	What's wrong with Ziri?	How screwed up is Ziri?
You are a bad boy.	I've been a bad boy.	I'm not a bad guy.	Don't look at me that way, I haven't done anything bad.
Life is too short.	In short: life is short.	Life is short, but it's long enough.	Life is at best very short.
Tom is a newcomer.	Tom was new at that time.	I didn't know Tom very well at that time.	Tom and I didn't know each other at that time.
Tom was obnoxious.	Tom got very obnoxious.	Tom became uncooperative.	Tom has been uncooperative.
Tom was obstinate.	Tom is an obstinate man.	I know Tom is obstinate.	Tom is an obstinate guy.
We love our house.	We loved that house.	Living in the house was pleasant.	I grew up in that house.
Tom was outspoken.	Tom is a very outspoken person.	Tom is someone who speaks his mind.	Tom is an outspoken person.
Just do something!	I just need to do something.	There's something I need to do right now.	I've got something I need to do.
Just do something.	I just need to do something.	There's something I need to do right now.	I've got something I need to do.
She's so adorable.	She is an adorable woman.	She is the sweetest.	She is a charming woman.
Isn't that lovely?	Isn't that just wonderful?	That's fantastic, isn't it?	Yeah, isn't that great?
No one can escape.	There's no way to escape.	There's no easy way out of here.	I don't think that there's any way out of here.
Tom was a shy boy.	Tom was very shy when he was a child.	Tom was timid when he was a child.	Tom was extremely shy when he was a child.
Here's the answer.	This is the right answer.	One of the answers is correct.	Your answer is correct.
Tom sat beside me.	Tom sat down next to me.	Tom and I sat down together.	Tom and I sat down to eat.
It's the rat race.	People nowadays are so competitive.	We have a lot of competition now.	Competition is intensifying.
Tom let Mary down.	Tom didn't help Mary like he promised.	Tom told Mary that he'd help her, but he didn't.	Tom tried to help Mary, but he couldn't.
Leave Tom with me.	Stay with Tom and me.	I'm going to stay with Tom.	I'll be staying with Tom.
Tom likes cookies.	Tom often bakes cookies.	Tom made cookies this morning.	Tom's mother made cookies this morning.
Tom lost his life.	Tom's life ended tragically.	Tom was hit by a car and died.	Tom was killed in an automobile accident.
I was dead inside.	I felt like I would die.	It looked like you were going to die.	It looked like you were going to fall.
You're dead to me.	I'm not dead, am I?	Am I dead or am I dreaming?	You're not dying, are you?
Tom loves his son.	Tom embraced his son.	Tom hugged his father.	Tom's parents hugged him.
Tom loves me, too.	Tom loves me and I love him too.	Tom knows how much I love him.	Tom loves me, and I love him too.
Tom met Mary here.	Tom met Mary there.	Tom went there to talk to Mary.	Tom went there to pick Mary up.
Tom needs to rest.	Tom needs to get some rest.	What Tom really needs now is some rest.	Tom needs some more rest.
Tom saw Mary, too.	Tom saw what Mary did.	Tom found out what Mary did.	Tom turned on Mary.
Tom will ask Mary.	Tom will tell Mary.	Tom will probably tell Mary what needs to be done.	Tom will probably tell Mary what he has to do.
Tom's light is on.	The light in Tom's room is on.	Tom is in that room.	Tom is in the other room.
Ziri smiled at us.	Ziri looked up at us.	Ziri looked at his friend.	Ziri looked around him.
We agree with Tom.	Tom seems to agree with us.	Tom seemed to agree with us.	Tom agrees with me.
We didn't see Tom.	I didn't see Tom there.	I'm pretty sure Tom wasn't there.	I don't think Tom was present.
Who is Tom really?	Who the heck is Tom?	Who's Tom? Oh, right. I had a brain fart.	Who the fuck is Tom?
She is dead to me.	I refuse to believe that she's dead.	She died in her sleep last night.	She died in her sleep.
Tom sold it to me.	Tom bought it for us.	Tom bought this for me.	Tom was the one who bought this for me.
Tom is kind to me.	Tom is really kind.	Tom is really nice.	Tom is really a nice guy.
Why is Tom so sad?	Why is it that Tom looks so sad?	Tom looks like he's depressed.	Tom looks really sad.
May I do that now?	May I do that tomorrow?	Can you do that today?	Can I do that tomorrow?
You're lucky, Tom.	I'm fortunate compared to Tom.	Tom is really fortunate.	Tom considers himself fortunate.
She loves her dad.	She loved her dad very much.	She was proud of her father.	He was proud of his daughter.
Tom just did that.	Tom did that just yesterday.	Tom just did that last week.	Tom did that just the other day.
Ziri was released.	Ziri came shortly after.	Ziri came to the party.	Ziri threw a party.
I ate a hamburger.	I ate a hamburger at Tom's.	I ate a sandwich at Subway.	I stayed at Tom's while I was in Boston.
He's a good diver.	Tom is a good diver.	Tom can swim very well.	Tom is pretty good at swimming.
He's got a Toyota.	He has his own car.	He repairs his own car.	He fixed the car all by himself.
It's Ziri's shift.	This is Ziri's nursing shift.	Ziri is an office employee.	Ziri is in your office.
Is Tom busy today?	Is Tom busy right now?	Tom is pretty busy, isn't he?	Tom is still very busy, isn't he?
I'm divorcing Tom.	Tom and I got divorced.	Tom and I used to be married.	Tom and I used to go out together.
Tom was competent.	Tom is quite competent.	Tom is highly qualified.	Tom is very competent.
I want a waterbed.	I want a room with a sea view.	I'd like to have a single room with a bath for two nights.	I'd like a room that looks out on the sea.
You were thinking.	Sorry, I was thinking.	Guess what I was thinking.	That isn't what I was thinking.
Tom is very drunk.	Tom is getting drunk.	Tom is obviously quite drunk.	Tom seems to be drunk.
Ziri is a lunatic.	Ziri has some mental issues.	Ziri is in trouble.	Ziri has got a problem.
Tom needs to come.	Tom should come, too.	Maybe Tom will come.	Tom will probably be coming.
My horse is white.	That horse is not white.	Napoleon's horse was white.	This horse is not white.
He was a bit late.	I don't know why he was late.	He didn't come on time.	He showed up late for no reason.
His head was grey.	Everything about him was grey.	She figured as a gray eminence.	She was a Brown before her marriage.
Who's on the team?	Where's the rest of the team?	Have you heard from the rest of the team?	They haven't heard from him.
The floor is lava!	The house is burning!	Help me! My house is on fire.	The house is on fire.
I'll get in first.	I would like to come in.	You can come in if you want to.	Would you like to come in?
